Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
304,574,H,Texas,29,35,64,126.5,129.5,220,70.5
304,575,V,MiamiFlorida,34,23,57,139.5,140,260,76.5
304,576,H,FloridaState,37,29,66,7,7,-310,3.5
304,577,V,OldDominion,31,24,55,7.5,8,-380,6.5
304,578,H,TexSanAntonio,35,38,73,118.5,121.5,320,68
304,579,V,MemphisU,24,38,62,136,135.5,900,73
304,580,H,SMU,48,55,103,13.5,13.5,-1600,3
304,581,V,SaintLouis,26,36,62,132.5,134.5,750,71.5
304,582,H,Richmond,33,39,72,14,13,-1200,6
304,583,V,ArkansasState,37,33,70,2.5,2,-130,1
304,584,H,SouthAlabama,35,38,73,142.5,142.5,110,76.5
304,585,V,Stanford,28,31,59,144,143,330,73.5
304,586,H,UtahU,26,41,67,9,8,-400,6
304,587,V,Arizona,30,43,73,9.5,8.5,-450,5.5
304,588,H,ArizonaState,29,31,60,151.5,152.5,375,78
304,589,V,SanJoseState,31,31,62,156.5,156.5,245,81
304,590,H,Wyoming,36,38,74,7.5,6.5,-290,2.5
304,591,V,BoiseState,49,49,98,4,4.5,-200,78.5
304,592,H,AirForce,32,38,70,147,147,175,2.5
304,593,V,WakeForest,42,47,89,164.5,162.5,105,1.5
304,594,H,VirginiaTech,47,37,84,2,1.5,-125,87.5
304,595,V,ArkansasLR,23,31,54,138,134.5,210,69.5
304,596,H,Troy,23,34,57,6,6,-250,3.5
304,597,V,LSU,30,46,76,159,157.5,350,82.5
304,598,H,MississippiSt,48,40,88,10,8.5,-420,1
304,599,V,Oregon,32,48,80,18,19,NL,9.5
304,600,H,OregonState,24,35,59,131,133.5,NL,71
304,601,V,Dartmouth,22,26,48,130,131,NL,72
304,602,H,Princeton,52,33,85,17.5,16.5,NL,4
304,603,V,Cornell,50,42,92,157.5,157.5,185,86
304,604,H,Brown,41,37,78,3,5,-215,5.5
304,605,V,Davidson,33,29,70,137.5,138,260,73
304,606,H,RhodeIsland,32,30,73,8,7,-310,5
304,607,V,FlaAtlantic,36,23,59,135,134.5,900,75
304,608,H,MiddleTennSt,44,49,93,16.5,15,-1600,7
304,609,V,Kansas,43,47,90,166.5,1.5,-125,0.5
304,610,H,OklahomaState,40,45,85,pk,162,105,86.5
304,611,V,Hawaii,39,36,75,142.5,143,190,79
304,612,H,LongBeachState,45,39,84,6,5,-220,1.5
304,613,V,WashingtonU,33,25,58,162,156.5,1000,81.5
304,614,H,USC,39,35,74,15.5,15,-2000,7.5
304,615,V,UNLV,24,35,59,140,143,750,74
304,616,H,FresnoState,35,37,72,12.5,13,-1200,4.5
304,617,V,NorthTexas,53,51,104,171.5,171.5,850,92.5
304,618,H,Marshall,45,61,106,15,14.5,-1500,11.5
304,619,V,Columbia,37,34,71,145,145,265,78.5
304,620,H,Yale,34,41,75,7.5,7,-320,6
304,621,V,Harvard,35,37,72,133,135,105,73
304,622,H,Pennsylvania,31,44,75,1,1.5,-125,2
304,625,V,Dayton,33,48,81,5,4,-180,5.5
304,626,H,GeoWashington,50,37,87,142.5,140.5,160,78
304,627,V,Duke,46,37,83,156,156.5,290,85.5
304,628,H,NorthCarolina,48,42,90,6.5,7,-350,4.5
304,629,V,FloridaIntl,38,30,68,140,141.5,650,77
304,630,H,UAB,32,24,56,11,12.5,-1000,10.5
304,631,V,ColoradoState,42,30,72,145,141,270,77.5
304,632,H,Nevada,40,45,85,6.5,7,-330,6
304,633,V,Rice,35,37,72,1.5,3,-160,4
304,634,H,WesternKentucky,43,36,79,153,152.5,140,82
304,635,V,UTArlington,43,38,81,1.5,2.5,-145,86.5
304,636,H,ULLafayette,37,46,83,163.5,162.5,125,0.5
304,637,V,SouthCarolina,31,39,70,2.5,2.5,-140,4.5
304,638,H,Mississippi,42,33,75,142.5,144.5,120,78.5
304,639,V,WashingtonState,34,34,68,165.5,163,NL,84.5
304,640,H,UCLA,35,42,77,21.5,23.5,NL,13.5
304,641,V,SanDiegoState,24,35,59,135,1.5,-130,0.5
304,642,H,NewMexico,25,39,64,pk,134.5,110,70
304,643,V,UCDavis,23,26,49,134.5,136,310,1
304,644,H,CalIrvine,41,38,79,8.5,7.5,-370,72.5
304,645,V,CalSantaBarb,27,30,57,129.5,129.5,425,67.5
304,646,H,CalPolySLO,23,21,44,10,10,-550,7
304,647,V,CSFullerton,45,41,86,154.5,153,140,82.5
304,648,H,CSNorthridge,36,42,78,3.5,3,-160,4
304,649,N,Delaware,32,50,82,146,150,950,80
304,650,N,NCWilmington,41,50,91,16,15.5,-1800,7
304,651,N,Elon,33,33,66,157,151.5,125,78.5
304,652,N,William&Mary,30,41,71,2,2.5,-145,2.5
304,653,V,JamesMadison,27,35,62,122,125,350,68
304,654,H,CollCharleston,30,37,67,8.5,8.5,-420,4.5
304,655,N,Northeastern,23,31,54,141.5,139,-110,3.5
304,656,N,Towson,37,45,82,1.5,pk,-110,72.5
304,657,N,SoIllinois,20,30,50,124,123.5,290,1
304,658,N,IllinoisState,43,20,63,8,7.5,-350,67.5
304,659,N,MissouriSt,34,29,63,145,144.5,1400,77.5
304,660,N,WichitaState,37,41,78,16.5,17.5,-2500,9.5
304,661,N,LoyolaMarymount,38,43,81,151.5,152,330,82.5
304,662,N,BYU,42,47,89,7,8,-400,4
304,663,N,SanFrancisco,35,34,69,1.5,1,-120,0.5
304,664,N,SantaClara,33,43,76,126.5,128,100,71.5
304,665,N,Pacific,25,25,50,141,142.5,8000,74
304,666,N,Gonzaga,27,55,82,26,28,-21500,15
304,667,N,PortlandU,27,31,58,122.5,121.5,NL,67.5
304,668,N,SaintMarysCA,32,49,81,22.5,23,NL,11
304,669,V,YoungstownState,43,38,81,160,162,800,87.5
304,670,H,Oakland,44,36,80,12.5,13.5,-1400,8
304,671,N,WiscMilwaukee,16,27,43,138,135.5,350,68.5
304,672,N,Valparaiso,12,29,41,p,8.5,-420,7.5
304,673,V,PortlandState,40,33,73,163,162,375,86
304,674,H,NorthDakota,42,40,82,7.5,9,-450,5
304,675,V,SacramentoState,22,45,67,138,136.5,150,71.5
304,676,H,No.Colorado,26,44,70,2.5,3.5,-170,1
304,677,V,IdahoU,37,47,84,7,6,-260,1.5
