2007-08 season:|Sun Nov 25 2007|at Det|Utah 103|Detroit 93  | | |
2007-08 season:|Sun Nov 25 2007|at Sea|San Antonio 116|Seattle 101  | | |
2007-08 season:|Sun Nov 25 2007|at LAL|New Jersey 102|LA Lakers 100  | | |
2007-08 season:|Mon Nov 26 2007|at NY|New York 113|Utah 109  | | |
2007-08 season:|Mon Nov 26 2007|at NOH|Minnesota 103|NO Hornets 94  | | |
2007-08 season:|Mon Nov 26 2007|at Dal|Washington 110|Dallas 98  | | |
2007-08 season:|Mon Nov 26 2007|at Sac|Sacramento 112|San Antonio 99  | | |
2007-08 season:|Mon Nov 26 2007|at Por|Orlando 85|Portland 74  | | |
2007-08 season:|Mon Nov 26 2007|at LAC|Houston 88|LA Clippers 71  | | |
2007-08 season:|Mon Nov 26 2007|at GS|Golden State 129|Phoenix 114  | | |
2007-08 season:|Tue Nov 27 2007|at Cle|Cleveland 109|Boston 104 (OT)| | |
2007-08 season:|Tue Nov 27 2007|at NJ|Memphis 110|New Jersey 103  | | |
2007-08 season:|Tue Nov 27 2007|at Mia|Miami 110|Cha Bobcats 90  | | |
2007-08 season:|Tue Nov 27 2007|at Mil|Philadelphia 114|Milwaukee 99  | | |
2007-08 season:|Tue Nov 27 2007|at Chi|Chicago 90|Atlanta 78  | | |
2007-08 season:|Tue Nov 27 2007|at Den|Indiana 112|Denver 110  | | |
2007-08 season:|Tue Nov 27 2007|at LAL|LA Lakers 106|Seattle 99  | | |
2007-08 season:|Wed Nov 28 2007|at Tor|Toronto 103|Memphis 91  | | |
2007-08 season:|Wed Nov 28 2007|at Phi|Utah 106|Philadelphia 95  | | |
2007-08 season:|Wed Nov 28 2007|at Atl|Atlanta 96|Milwaukee 80  | | |
2007-08 season:|Wed Nov 28 2007|at Det|Detroit 109|Cleveland 74  | | |
2007-08 season:|Wed Nov 28 2007|at Dal|Dallas 109|Minnesota 103  | | |
2007-08 season:|Wed Nov 28 2007|at SA|San Antonio 109|Washington 94  | | |
2007-08 season:|Wed Nov 28 2007|at Pho|Houston 100|Phoenix 94  | | |
2007-08 season:|Wed Nov 28 2007|at Sac|Golden State 103|Sacramento 96  | | |
2007-08 season:|Wed Nov 28 2007|at Por|Indiana 95|Portland 89  | | |
2007-08 season:|Wed Nov 28 2007|at Sea|Orlando 110|Seattle 94  | | |
2007-08 season:|Thu Nov 29 2007|at Bos|Boston 104|New York 59  | | |
2007-08 season:|Thu Nov 29 2007|at LAL|LA Lakers 127|Denver 99  | | |
2007-08 season:|Thu Nov 29 2007|at GS|Golden State 113|Houston 94  | | |
2007-08 season:|Fri Nov 30 2007|at Tor|Toronto 91|Cleveland 82  | | |
2007-08 season:|Fri Nov 30 2007|at Phi|Philadelphia 85|Washington 84  | | |
2007-08 season:|Fri Nov 30 2007|at NY|New York 91|Milwaukee 88  | | |
2007-08 season:|Fri Nov 30 2007|at Atl|NO Hornets 92|Atlanta 86  | | |
2007-08 season:|Fri Nov 30 2007|at Mia|Boston 95|Miami 85  | | |
2007-08 season:|Fri Nov 30 2007|at Min|San Antonio 106|Minnesota 91  | | |
2007-08 season:|Fri Nov 30 2007|at Dal|Dallas 91|Portland 80  | | |
