bankser01,1931,USA,TX,2015,180,73,R,R,1953-09-17,1971-09-26,bankser01,1977,0.8381201044386423
bannial01,1951,USA,CA,,170,71,R,R,1974-07-13,1985-10-06,bannial01,-1,-1
barajro01,1975,USA,CA,,250,74,R,R,1999-09-25,2012-10-03,barajro01,-1,-1
barbawa01,1891,USA,SC,1965,162,72,R,R,1914-09-17,1922-10-01,barbawa01,-1,-1
barbebr01,1967,USA,CA,,185,71,B,R,1991-06-16,1996-06-22,barbebr01,-1,-1
barbetu01,1893,USA,TN,1968,170,71,L,R,1915-08-19,1923-04-30,barbetu01,-1,-1
barclge01,1876,USA,PA,1909,162,70,R,R,1902-04-17,1905-05-30,barclge01,-1,-1
bardjo01,1978,USA,NY,,225,75,B,R,2002-08-23,2011-09-17,bardjo01,-1,-1
barfije01,1959,USA,IL,,200,73,R,R,1981-09-03,1992-06-17,barfije01,-1,-1
barfijo02,1982,Venezuela,Lara,,190,72,R,R,2006-04-03,2009-06-25,barfijo02,-1,-1
barmecl01,1979,USA,IN,,200,73,R,R,2003-09-05,2015-10-04,barmecl01,-1,-1
barnebr02,1986,USA,CA,,210,74,R,R,2012-08-07,2016-07-24,barnebr02,-1,-1
barneda01,1985,USA,OR,,180,70,R,R,2010-08-12,2017-10-01,barneda01,-1,-1
barnhcl01,1895,USA,PA,1980,155,70,R,R,1920-09-22,1928-08-23,barnhcl01,-1,-1
barrebi02,1900,USA,MA,1951,175,72,R,R,1921-05-13,1930-05-31,barrebi02,-1,-1
barreji01,1875,USA,MA,1921,170,67,L,R,1899-09-13,1908-05-13,barreji01,-1,-1
barrejo01,1915,USA,MA,1974,170,70,L,L,1942-04-14,1946-09-26,barrejo01,-1,-1
barrema02,1958,USA,CA,,175,70,R,R,1982-09-06,1991-05-07,barrema02,-1,-1
barremi01,1976,USA,GA,,185,75,R,R,1998-09-19,2009-04-17,barremi01,-1,-1
barryja01,1887,USA,CT,1961,158,69,R,R,1908-07-13,1919-06-23,barryja01,-1,0.011450381679389313
barrysh01,1878,USA,NY,1936,,,R,R,1899-05-30,1908-10-07,barrysh01,-1,-1
bartedi01,1907,USA,IL,1995,160,69,R,R,1927-10-02,1946-05-24,bartedi01,-1,0.008264462809917356
bartlja01,1979,USA,CA,,190,72,R,R,2004-08-03,2014-04-06,bartlja01,-1,-1
bartobo01,1941,USA,OH,,175,72,R,R,1965-09-17,1974-07-30,bartobo01,-1,0.0
bartoda02,1985,USA,VT,,215,72,L,R,2007-09-10,2014-05-13,bartoda02,-1,-1
basske01,1959,USA,CA,,183,72,B,R,1982-04-09,1995-10-01,basske01,-1,-1
bassljo01,1895,USA,PA,1979,170,69,L,R,1913-07-11,1927-09-30,bassljo01,-1,-1
batchem01,1880,USA,NY,1926,170,67,R,R,1904-09-13,1907-10-05,batchem01,-1,-1
batemjo01,1940,USA,OK,1996,210,75,R,R,1963-04-19,1972-10-03,batemjo01,-1,-1
batesjo02,1882,USA,OH,1949,168,67,L,L,1906-04-12,1914-10-10,batesjo02,-1,-1
batisto01,1973,D.R.,Puerto Plata,,180,72,R,R,1996-06-03,2007-09-30,batisto01,-1,-1
batteea01,1935,USA,CA,2003,205,73,R,R,1955-09-10,1967-09-27,batteea01,-1,-1
battsma01,1921,USA,TX,2013,200,71,R,R,1947-09-10,1956-05-08,battsma01,-1,-1
bauerha01,1922,USA,IL,2007,192,72,R,R,1948-09-06,1961-07-21,bauerha01,-1,0.07876712328767123
baumhfr01,1918,USA,OH,1997,175,70,L,L,1947-04-15,1957-05-26,baumhfr01,-1,-1
bautida01,1972,D.R.,Distrito Nacional,,170,71,R,R,1993-09-15,2004-09-28,bautida01,-1,-1
bautijo02,1980,D.R.,Distrito Nacional,,205,72,R,R,2004-04-04,2017-10-01,bautijo02,-1,-1
bayha01,1878,USA,IL,1952,138,68,L,L,1901-07-23,1908-05-03,bayha01,-1,-1
bayja01,1978,CAN,BC,,210,74,R,R,2003-05-23,2013-07-26,bayja01,-1,-1
baylodo01,1949,USA,TX,2017,190,73,R,R,1970-09-18,1988-10-01,baylodo01,-1,0.02631578947368421
beaumgi01,1876,USA,WI,1956,190,68,L,R,1899-04-21,1910-10-15,beaumgi01,-1,0.0049504950495049506
beckcl01,1900,USA,CA,1988,176,70,R,R,1926-05-19,1931-09-11,beckcl01,-1,-1
beckebe01,1886,USA,KS,1943,170,69,L,L,1908-04-19,1915-10-06,beckebe01,-1,-1
beckegl01,1940,USA,PA,,190,73,R,R,1965-04-12,1975-04-27,beckegl01,-1,0.0024937655860349127
beckeri01,1972,USA,IL,,180,70,L,L,1993-09-10,2000-10-01,beckeri01,-1,-1
beckfr02,1886,USA,IL,1962,180,73,L,L,1909-04-14,1915-10-03,beckfr02,-1,-1
beckhgo01,1986,USA,GA,,190,72,R,R,2009-06-04,2017-10-01,beckhgo01,-1,-1
becklja01,1867,USA,MO,1918,200,70,L,L,1888-06-20,1907-06-15,becklja01,1971,0.01282051282051282
becquju01,1931,Cuba,La Habana,,178,71,L,L,1955-09-13,1963-09-18,becquju01,-1,-1
bejmaol01,1907,USA,IN,1995,165,70,R,R,1934-04-24,1939-10-01,bejmaol01,-1,-1
belanma01,1944,USA,MA,1998,170,73,R,R,1965-08-07,1982-10-02,belanma01,-1,0.03747072599531616
bellbe01,1907,USA,TX,1977,185,74,R,R,1935-04-16,1941-09-01,bellbe01,-1,-1
bellbu01,1951,USA,PA,,180,73,R,R,1972-04-15,1989-06-17,bellbu01,-1,0.017391304347826087
bellda01,1972,USA,OH,,170,70,R,R,1995-05-03,2006-10-01,bellda01,-1,-1
bellde01,1968,USA,FL,,200,74,R,R,1991-06-28,2001-07-03,bellde01,-1,-1
belleal01,1966,USA,LA,,190,73,R,R,1989-07-15,2000-10-01,belleal01,-1,0.07692307692307693
bellge02,1959,D.R.,San Pedro de Macoris,,190,73,R,R,1981-04-09,1993-10-02,bellge02,-1,0.012072434607645875
