armstsh01,1990,NC,New Bern,armstsh01,Shawn Armstrong
arndtha01,1879,IN,South Bend,arndtha01,Harry Arndt
arndtla01,1963,OH,Fremont,arndtla01,Larry Arndt
arnolbi01,1851,CT,Middletown,arnolbi01,Billy Arnold
arnolch01,1947,CA,Long Beach,arnolch01,Chris Arnold
arnolja01,1974,MI,Dearborn,arnolja01,Jamie Arnold
arnolsc01,1962,KY,Lexington,arnolsc01,Scott Arnold
arnolto01,1959,TX,El Paso,arnolto01,Tony Arnold
arnovmo01,1910,WI,Superior,arnovmo01,Morrie Arnovich
arnsbbr01,1963,WA,Seattle,arnsbbr01,Brad Arnsberg
arntzor01,1909,IL,Beverly,arntzor01,Orie Arntzen
arrieja01,1986,MO,Farmington,arrieja01,Jake Arrieta
arrigge01,1941,IL,Chicago,arrigge01,Gerry Arrigo
arroybr01,1977,FL,Key West,arroybr01,Bronson Arroyo
arroych01,1995,FL,Tampa,arroych01,Christian Arroyo
arroyfe01,1952,CA,Sacramento,arroyfe01,Fernando Arroyo
arroyru01,1950,NY,New York,arroyru01,Rudy Arroyo
arundha01,1855,PA,Philadelphia,arundha01,Harry Arundel
arundtu01,1862,NY,Auburn,arundtu01,Tug Arundel
asadora01,1962,CA,Fresno,asadora01,Randy Asadoor
asbelji01,1914,TX,Dallas,asbelji01,Jim Asbell
asbjoca01,1909,MA,Concord,asbjoca01,Casper Asbjornson
ascheco01,1990,MO,St. Charles,ascheco01,Cody Asche
ashburi01,1927,NE,Tilden,ashburi01,Richie Ashburn
ashbyal01,1951,CA,Long Beach,ashbyal01,Alan Ashby
ashbyan01,1967,MO,Kansas City,ashbyan01,Andy Ashby
asheral01,1991,FL,Lakeland,asheral01,Alec Asher
ashfotu01,1954,TN,Memphis,ashfotu01,Tucker Ashford
ashke01,1901,WV,Anmoore,ashke01,Ken Ash
ashlebi01,1970,MI,Trenton,ashlebi01,Billy Ashley
ashlene01,1984,IN,Vincennes,ashlene01,Nevin Ashley
asmusto01,1878,IL,Chicago,asmusto01,Tom Asmussen
asprobo01,1938,NY,Brooklyn,asprobo01,Bob Aspromonte
asproke01,1931,NY,Brooklyn,asproke01,Ken Aspromonte
asselbr01,1953,CA,Santa Barbara,asselbr01,Brian Asselstine
assenpa01,1960,MI,Detroit,assenpa01,Paul Assenmacher
astinba01,1991,AR,Forrest City,astinba01,Barrett Astin
astrojo01,1922,IL,East Alton,astrojo01,Joe Astroth
atchisc01,1976,TX,Denton,atchisc01,Scott Atchison
atchlju01,1973,WA,Sedro-Woolley,atchlju01,Justin Atchley
atherch01,1873,NJ,New Brunswick,atherch01,Charlie Atherton
atherke01,1959,VA,Newport News,atherke01,Keith Atherton
atkinal01,1861,IL,Clinton,atkinal01,Al Atkinson
atkined01,1851,MD,Baltimore,atkined01,Ed Atkinson
atkinga01,1979,CA,Orange,atkinga01,Garrett Atkins
atkinja01,1921,AL,Birmingham,atkinja01,James Atkins
atkinle01,1904,IL,Chicago,atkinle01,Lefty Atkinson
atkinmi01,1985,NC,Browns Summit,atkinmi01,Mitch Atkins
atkinto01,1887,NE,Ponca,atkinto01,Tommy Atkins
attredi01,1897,IL,Chicago,attredi01,Dick Attreau
atwelto01,1924,VA,Leesburg,atwelto01,Toby Atwell
atwoobi01,1911,GA,Rome,atwoobi01,Bill Atwood
atzja01,1879,DC,Washington,atzja01,Jake Atz
aubreha01,1881,MO,St. Joseph,aubreha01,Chub Aubrey
aubremi01,1982,LA,Shreveport,aubremi01,Michael Aubrey
auderi01,1971,CA,Van Nuys,auderi01,Rich Aude
auerbri01,1950,CA,Woodland Hills,auerbri01,Rick Auerbach
augenbr01,1986,FL,Sebastian,augenbr01,Bryan Augenstein
augusda01,1949,WV,Follansbee,augusda01,Dave Augustine
augusdo01,1963,CA,Inglewood,augusdo01,Don August
augusje01,1952,WI,Kewaunee,augusje01,Jerry Augustine
aukerel01,1910,KS,Norcatur,aukerel01,Elden Auker
auldsle01,1920,LA,Farmerville,auldsle01,Tex Aulds
aultdo01,1950,TX,Beaumont,aultdo01,Doug Ault
aurilri01,1971,NY,Brooklyn,aurilri01,Rich Aurilia
ausanjo01,1965,NY,Kingston,ausanjo01,Joe Ausanio
ausmubr01,1969,CT,New Haven,ausmubr01,Brad Ausmus
austde01,1940,NE,Tecumseh,austde01,Dennis Aust
austihe01,1844,NY,,austihe01,Henry Austin
austije01,1976,CA,San Bernardino,austije01,Jeff Austin
austiji02,1963,VA,Farmville,austiji02,Jim Austin
austiri01,1946,WA,Seattle,austiri01,Rick Austin
austity01,1991,GA,Conyers,austity01,Tyler Austin
autryal01,1952,CA,Modesto,autryal01,Al Autry
autrych01,1885,TN,Humboldt,autrych01,Chick Autry
autrych02,1903,TX,Martindale,autrych02,Chick Autry
avenbr01,1972,TX,Orange,avenbr01,Bruce Aven
averiea01,1902,WA,Snohomish,averiea01,Earl Averill
averiea02,1931,OH,Cleveland,averiea02,Earl Averill
averyst01,1970,MI,Trenton,averyst01,Steve Avery
averyxa01,1990,GA,Atlanta,averyxa01,Xavier Avery
avilaal01,1987,FL,Hialeah,avilaal01,Alex Avila
avilemi01,1981,NY,New York,avilemi01,Mike Aviles
avreaja01,1920,TX,Cleburne,avreaja01,Jay Avrea
axelrdy01,1985,CA,Santa Barbara,axelrdy01,Dylan Axelrod
ayalabo01,1969,CA,Ventura,ayalabo01,Bobby Ayala
aydelja01,1861,IN,Marion,aydelja01,Jake Aydelott
ayersbi01,1919,GA,Newnan,ayersbi01,Bill Ayers
ayersdo01,1891,VA,Snake Creek,ayersdo01,Doc Ayers
aylwadi01,1925,MD,Baltimore,aylwadi01,Dick Aylward
ayraubo01,1966,CA,South Lake Tahoe,ayraubo01,Bob Ayrault
ayraujo01,1971,MI,Rochester,ayraujo01,Joe Ayrault
babbch01,1873,OR,Milwaukie,babbch01,Charlie Babb
babcobo01,1949,PA,New Castle,babcobo01,Bob Babcock
babelo01,1928,IA,Pisgah,babelo01,Loren Babe
babicjo01,1913,CA,Albion,babicjo01,Johnny Babich
babinch01,1895,RI,Cranston,babinch01,Charlie Babington
babitsh01,1959,CA,Oakland,babitsh01,Shooty Babitt
backebr01,1978,TX,Galveston,backebr01,Brandon Backe
backmle01,1888,OH,Cleves,backmle01,Les Backman
backmwa01,1959,OR,Hillsboro,backmwa01,Wally Backman
baconed01,1895,KY,Frankfort,baconed01,Eddie Bacon
