north-dakota-st,uc-santa-barbara,66,85,2017,11,11,"Thunderdome-UC Santa Barbara Events Center, Santa Barbara, CA"
st-francis-brooklyn,duquesne,70,80,2017,11,11,"A.J. Palumbo Center, Pittsburgh, PA"
wagner,njit,60,49,2017,11,11,"NJIT Wellness and Events Center, Newark, NJ"
cleveland-st,akron,57,67,2017,11,11,"James A. Rhodes Arena, Akron, OH"
saint-josephs,toledo,87,98,2017,11,11,"Savage Arena, Toledo, OH"
mayville-st,south-dakota,59,87,2017,11,11,"DakotaDome, Vermillion, SD"
johnson,presbyterian,87,107,2017,11,11,"Templeton Physical Education Center, Clinton, SC"
nc-wesleyan,unc-wilmington,81,105,2017,11,11,"Raiford G. Trask Coliseum, Wilmington, NC"
lehigh,marist,84,76,2017,11,11,"McCann Arena, Poughkeepsie, NY"
peace,elon,53,96,2017,11,11,"Alumni Gym, Elon, NC"
north-florida,michigan,66,86,2017,11,11,"Crisler Center, Ann Arbor, MI"
texas-tyler,sam-houston-st,51,91,2017,11,11,"Bernard Johnson Coliseum, Huntsville, TX"
loyola-marymount,texas-arlington,80,85,2017,11,11,"College Park Center, Arlington, TX"
st-marys-mn,western-ill,68,109,2017,11,11,"Western Hall, Macomb, IL"
eastern-ill,nebraska,68,72,2017,11,11,"Pinnacle Bank Arena, Lincoln, NE"
mississippi-val,byu,61,91,2017,11,11,"Marriott Center, Provo, UT"
no-new-mexico,new-mexico,76,147,2017,11,11,"Dreamstyle Arena, Albuquerque, NM"
youngstown-st,kent-st,78,111,2017,11,11,"James A. Rhodes Arena, Akron, OH"
portland-st,portland,80,75,2017,11,11,"Chiles Center, Portland, OR"
florida-am,unlv,66,108,2017,11,11,"Thomas & Mack Center, Paradise, NV"
umbc,arizona,78,103,2017,11,12,"McKale Center, Tuscon, AZ"
vermont,kentucky,69,73,2017,11,12,"Rupp Arena, Lexington, KY"
navy,miami-fl,55,89,2017,11,12,"Watsco Center, Coral Gables, FL"
george-mason,louisville,61,72,2017,11,12,"KFC Yum! Center, Louisville, KY"
chicago-st,purdue,42,111,2017,11,12,"Mackey Arena, West Lafayette, IN"
monmouth,seton-hall,65,75,2017,11,12,"Prudential Center, Newark, NJ"
south-carolina-st,boston-college,52,91,2017,11,12,"Silvio O. Conte Forum, Chestnut Hill, MA"
mass-boston,mass-lowell,63,102,2017,11,12,"Costello Athletic Center, Lowell, MA"
