Gus Bailey,1951,NC,Gibson
Leon Benbow,1950,SC,Columbia
Ken Boyd,1952,MD,Frederick
Gary Brokaw,1954,NJ,New Brunswick
Tom Burleson,1952,NC,Crossnore
Harvey Catchings,1951,MS,Jackson
Jim Chones,1949,WI,Racine
Ben Clyde,1951,GA,Albany
Jesse Dark,1951,VA,Richmond
Rod Derline,1952,WA,Elma
John Drew,1954,AL,Vredenburgh
Dennis DuVal,1952,NY,Westbury
Al Eberhard,1952,IA,Cedar Rapids
Bernie Harris,1950,VA,Roanoke
Steve Hawes,1950,WA,Seattle
Tom Henderson,1952,SC,Newberry
Greg Jackson,1952,NY,Brooklyn
Wardell Jackson,1951,MS,Yazoo City
Aaron James,1952,LA,New Orleans
Mickey Johnson,1952,IL,Chicago
Jimmy Jones,1945,LA,Tallulah
Frank Kendrick,1950,IN,Indianapolis
Len Kosmalski,1951,OH,Cleveland
Bill Ligon,1952,TN,Nashville
Phil Lumpkin,1951,OH,Dayton
Eric Money,1955,MI,Detroit
Connie Norman,1953,MI,Detroit
Kevin Restani,1951,CA,San Francisco
Truck Robinson,1951,FL,Jacksonville
Campy Russell,1944,IL,Chicago
Fred Saunders,1951,OH,Columbus
Tal Skinner,1952,MD,Berlin
Phil Smith,1952,CA,San Francisco
Mike Sojourner,1953,PA,Philadelphia
Kevin Stacom,1951,NY,New York
George Thompson,1947,NY,Brooklyn
Dean Tolson,1951,MO,Kansas City
Foots Walker,1951,NY,Southampton
Perry Warbington,1952,GA,Atlabta
Stan Washington,1952,DC,Washington
Scott Wedman,1952,KS,Harper
Owen Wells,1950,RI,Providence
Earl Williams,1951,PA,Levittown
Brian Winters,1952,NY,Rockaway
Alvan Adams,1954,KS,Lawrence
Jerome Anderson,1953,WV,Mullens
Jerry Baskerville,1951,PA,Philadelphia
Bob Bigelow,1953,MA,Boston
Tom Boswell,1953,AL,Montgomery
Junior Bridgeman,1953,IN,East Chicago
Joe Bryant,1954,PA,Philadelphia
Al Carlson,1951,CA,Oceanside
Jim Creighton,1950,MT,Billings
Darryl Dawkins,1957,FL,Orlando
Henry Dickerson,1951,WV,Berkley
Eric Fernsten,1953,CA,Oakland
Larry Fogle,1953,NY,Brooklyn
Donnie Freeman,1944,IL,Madison
Kevin Grevey,1953,OH,Hamilton
Lindsay Hairston,1951,MI,Detroit
Glenn Hansen,1952,ND,Devils Lake
Robert Hawkins,1954,MI,Detroit
Wilbur Holland,1951,GA,Columbus
Lionel Hollins,1953,KS,Ark City
Steve Jones,1942,LA,Alexandria
Rich Kelley,1953,CA,San Mateo
Tom Kropp,1953,NE,Grand Island
John Lambert,1953,CA,Berkeley
John Laskowski,1953,IN,South Bend
Clyde Mayes,1953,SC,Greenville
Ken Mayfield,1948,IL,Chicago
Jim McElroy,1953,AR,Cotton Plant
George McGinnis,1950,IN,Indianapolis
Tom McMillen,1952,NY,Elmira
Joe Meriweather,1953,AL,Phenix City
Frank Oleynick,1955,CT,Bridgeport
Bill Robinzine,1953,IL,Chicago
John Roche,1949,NY,New York
Bruce Seals,1953,LA,New Orleans
Ed Searcy,1952,NY,New York
Gene Short,1953,MS,Macon
John Shumate,1952,SC,Greenville
Terry Thomas,1953,MI,Detroit
Rudy White,1953,NM,Silver City
Gus Williams,1953,NY,Mount Vernon
Bill Willoughby,1957,NJ,Englewood
Tom Abernethy,1954,IN,South Bend
Bird Averitt,1952,KY,Hopkinsville
Tom Barker,1955,TX,Harlingen
Marvin Barnes,1952,RI,Providence
Norton Barnhill,1953,NC,Winston-Salem
Mike Barr,1950,OH,Canton
Tim Bassett,1951,DC,Washington
Byron Beck,1945,WA,Ellensburg
