Elden Auker,DET,DET,DET,DET,DET,DET,BOS,SLA,SLA,SLA
Tex Aulds
Doug Ault,TOR,TOR,TOR
Phillippe Aumont
Rich Aurilia,SFN,SFN,SFN,SFN,SFN,SFN,SFN,SFN,SEA,SDN,CIN,CIN,SFN,SFN,SFN
Joe Ausanio
Brad Ausmus,SDN,SDN,SDN,SDN,DET,HOU,HOU,DET,DET,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,LAN
Dennis Aust
Henry Austin
Jeff Austin
Jimmy Austin,NYA,NYA,SLA,SLA,SLA,SLA,SLA,SLA,SLA,SLA,SLA,SLA
Jim Austin
Rick Austin,CLE,CLE,ML4
Tyler Austin
Al Autry
Chick Autry
Chick Autry
Bruce Aven,FLO,PIT
Earl Averill,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,DET,DET
Earl Averill,CLE,CHN,CHN,LAA,LAA
Steve Avery,ATL,ATL,ATL,ATL,ATL,ATL,ATL,BOS,BOS,CIN
Xavier Avery
Alex Avila,DET,DET,DET,DET,DET,DET,CHA
Bobby Avila,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,ML1
Luis Avilan,ATL,ATL,ATL,ATL
Mike Aviles,KCA,KCA,KCA,KCA,BOS,BOS,CLE,CLE,CLE,DET
Ramon Aviles
Jay Avrea
Dylan Axelrod,CHA,CHA
John Axford,MIL,MIL,MIL,MIL,CLE,COL,OAK
Benny Ayala,BAL,BAL,BAL,BAL
Bobby Ayala,CIN,CIN,SEA,SEA,SEA,SEA,SEA,MON
Luis Ayala,MON,MON,WAS,WAS,WAS,MIN,NYA,BAL,ATL
Erick Aybar,LAA,LAA,LAA,LAA,LAA,LAA,LAA,LAA,LAA,ATL
Manny Aybar,SLN,SLN,SLN,CIN,FLO,CHN,NYN
Willy Aybar,LAN,LAN,ATL,TBA,TBA,TBA
Jake Aydelott
Bill Ayers
Doc Ayers,WS1,WS1,WS1,WS1,WS1,WS1,DET,DET
Dick Aylward
Bob Ayrault
Joe Ayrault
Joe Azcue,KC1,CLE,CLE,CLE,CLE,CLE,CLE,CAL,CAL
Oscar Azocar
Charlie Babb,NY1,BRO,BRO
Bob Babcock
Loren Babe
Johnny Babich,BRO,BRO,PHA,PHA
Charlie Babington
Shooty Babitt
Brandon Backe,TBA,HOU,HOU,HOU,HOU,HOU
Les Backman,SLN,SLN
Wally Backman,NYN,NYN,NYN,NYN,NYN,NYN,NYN,MIN,PIT,PHI
Eddie Bacon
Mike Bacsik,TEX,TEX,MIN,MIN
Mike Bacsik,NYN,WAS
Fred Baczewski,CIN,CIN
Burke Badenhop,FLO,FLO,FLO,FLO,TBA,MIL,BOS,CIN
Art Bader
Harrison Bader
King Bader
Red Badgro
Ed Baecht,PHI,PHI,CHN
Cha-Seung Baek,SEA,SEA,SEA,SEA,SDN
Carlos Baerga,CLE,CLE,CLE,CLE,CLE,CLE,CLE,NYN,NYN,BOS,ARI,WAS
Benito Baez
Danys Baez,CLE,CLE,CLE,TBA,TBA,LAN,BAL,BAL,PHI,PHI
Javier Baez,CHN,CHN
Jose Baez
Kevin Baez
Pedro Baez,LAN,LAN
Jim Bagby,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,PIT
Jim Bagby,CLE,BOS,BOS,BOS,CLE,CLE,CLE,CLE,CLE,BOS,PIT
Bill Bagwell
